🇨🇳•欣赏,#genre#
东森新闻,http://2023.stream-link.org/live/1793825065
TVBS新闻,http://2023.stream-link.org/live/401131254
寰宇新闻,http://2023.stream-link.org/live/1932250847
华视新闻,http://2023.stream-link.org/live/215730961
中视新闻,http://2023.stream-link.org/live/926790469
三立新闻,http://2023.stream-link.org/live/1803236734
台视新闻,http://2023.stream-link.org/live/966381653
民视新闻,http://2023.stream-link.org/live/1637144344
寰宇国际新闻,http://2023.stream-link.org/live/1212532853
东森财经新闻,http://2023.stream-link.org/live/249006034
TVBS财经,http://2023.stream-link.org/live/1711676066
三立财经新闻,http://2023.stream-link.org/live/172551145
三立新闻+,http://2023.stream-link.org/live/1998094138
中天综合台,http://2023.stream-link.org/live/35397979
中天亚洲台,http://2023.stream-link.org/live/1096161090
台视,http://2023.stream-link.org/live/280878870
天才冲冲冲,http://2023.stream-link.org/live/1311166619
东森yoyo,http://2023.stream-link.org/live/367293080
八度空间,http://2022.stream-link.org/live/1753190198
ABC News Australia,http://2022.stream-link.org/live/913166695
ABC News,http://2022.stream-link.org/live/1465379655
ANN News,http://2022.stream-link.org/live/1443099587
Asianet News,http://2022.stream-link.org/live/366568951
CNA News,http://2022.stream-link.org/live/1603999174
DW News,http://2022.stream-link.org/live/92833505
EURO News,http://2022.stream-link.org/live/1059084541
France 24 English,http://2022.stream-link.org/live/1210415010
GB News,http://2022.stream-link.org/live/952053531
Haber Turk,http://2022.stream-link.org/live/407816023
NBC News,http://2022.stream-link.org/live/1630575726
Sky News,http://2022.stream-link.org/live/127064321
🇨🇳•时效,#genre#
有线新闻,http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
有线新闻,http://cm61-10-2-143.hkcable.com.hk/live_freedirect/freehd209_h.live/playlist.m3u8
无线新闻台 FHD,http://radius.8866.org:800/hls/82/index.m3u8
TVB无线新闻,http://203.218.232.199:9981/stream/channelid/168959014?ticket=5be55c3a11b7c78b72e1ac8a6c4cd81d40464ab5&profile=pass
翡翠台 FHD,http://radius.8866.org:800/hls/80/index.m3u8
TVB翡翠,http://23.237.10.66:16106
TVB翡翠,http://1b6467f415.iok.la:113/tsfile/live/1053_1.m3u8
TVB翡翠,http://113.64.147.170:808/hls/67/index.m3u8
TVB翡翠,http://jyjxy.7766.org:808/hls/36/index.m3u8
TVB翡翠华丽,http://23.237.10.66:16410
TVB J2,https://cdn.hklive.tv/xxxx/82/index.m3u8
ViuTV FHD,http://radius.8866.org:800/hls/86/index.m3u8
天映频道,http://51.79.82.208:16024
RTHK 31 FHD,http://radius.8866.org:800/hls/89/index.m3u8
RTHK 32 FHD,http://radius.8866.org:800/hls/90/index.m3u8
RTHK 33 FHD,http://radius.8866.org:800/hls/91/index.m3u8
面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
无线财经资讯台 FHD,http://radius.8866.org:800/hls/83/index.m3u8
TVB无线财经,http://120.84.96.62:808/hls/86/index.m3u8
TVB无线财经,http://120.84.96.55:808/hls/86/index.m3u8
明珠台 FHD,http://radius.8866.org:800/hls/84/index.m3u8
ViuTV Six FHD,http://radius.8866.org:800/hls/85/index.m3u8
中天新闻台,https://pull-l3-cny.douyincdn.com/live/bf226092f49329a2502bc2619db1d737.flv
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
中天综合,http://23.237.10.66:16372
东森新闻美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
凤凰中文,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰中文,http://jyjxy.7766.org:808/hls/32/index.m3u8
凤凰中文,https://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯,http://jyjxy.7766.org:808/hls/33/index.m3u8
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰香港,http://gxfrg007.8800.org:8282/tsfile/live/1065_1.m3u8
凤凰香港,http://113.64.147.106:808/hls/38/index.m3u8
凤凰香港,http://113.64.147.170:808/hls/38/index.m3u8
凤凰电影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8
香港卫视,https://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv
TVBRICS,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
HBO,http://vips-livecdn.fptplay.net/hda1/hbo_vhls.smil/chunklist_b5000000.m3u8
HBO2,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
TVB功夫,https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/545768/live_179302204_68184269.m3u8
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
澳视资讯,http://103.233.191.134:1935/ch5/info_ch5.live/playlist.m3u8
澳视资讯,http://103.233.191.133:1935/ch5/info_ch5.live/playlist.m3u8
澳视综艺,http://103.233.191.133:1935/ch6/hd_ch6.live/playlist.m3u8
澳视综艺,http://103.233.191.134:1935/ch6/hd_ch6.live/playlist.m3u8
澳视综艺,http://103.233.191.132:1935/ch6/hd_ch6.live/playlist.m3u8
澳视Macau,http://103.233.191.134:1935/ch3/ch3.live/playlist.m3u8
澳视Macau,http://103.233.191.132:1935/ch3/ch3.live/playlist.m3u8
澳视Macau,http://103.233.191.133:1935/ch3/ch3.live/playlist.m3u8
澳视澳門,http://103.233.191.134:1935/ch1/ch1.live/playlist.m3u8
澳视澳門,http://103.233.191.133:1935/ch1/ch1.live/playlist.m3u8
澳门莲花,http://nettvpro.live/hls/lotustv.php
澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8
澳门莲花,https://p.ggiptv.com/v/macaulotustv.php
澳视体育,http://103.233.191.132:1935/ch4/sport_ch4.live/playlist.m3u8
澳视体育,http://103.233.191.133:1935/ch4/sport_ch4.live/playlist.m3u8
澳视体育,http://103.233.191.134:1935/ch4/sport_ch4.live/playlist.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
华语电视1,http://38.64.72.148:80/hls/modn/list/4001/chunklist0.m3u8
华语电视2,http://38.64.72.148:80/hls/modn/list/4002/chunklist0.m3u8
华语电视3,http://38.64.72.148:80/hls/modn/list/4003/chunklist0.m3u8
长城精品,http://38.64.72.148:80/hls/modn/list/4008/chunklist0.m3u8
大立電視,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
三立新闻,http://23.237.10.66:16342
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
TVBS新闻,rtmp://59.124.75.150/sat/tv551
TVBS新闻,rtmp://59.124.75.138/sat/tv551
TVBS欢乐,rtmp://59.124.75.150/sat/tv421
TVBS欢乐,rtmp://59.124.75.138/sat/tv421
中天综合,http://23.237.10.66:16372
卫视电影台,http://23.237.10.66:16010
原住民族,http://streamipcf.akamaized.net/live/_definst_/live_720/chunklist_b1500.m3u8
八度空间,http://51.79.82.208:16005
东森卫视,http://38.64.72.148:80/hls/modn/list/2024/chunklist0.m3u8
东森美洲,http://38.64.72.148:80/hls/modn/list/2026/chunklist0.m3u8
东森财经,rtmp://59.124.75.150/sat/tv571
东森财经,rtmp://59.124.75.138/sat/tv571
东森超视,rtmp://59.124.75.138:1935/sat/tv331
东森超视,rtmp://59.124.75.150/sat/tv331
东森电影,http://120.84.96.55:808/hls/32/index.m3u8
龙祥时代,http://jyjxy.7766.org:808/hls/38/index.m3u8
龙祥时代,http://gxfrg007.8800.org:8282/tsfile/live/1048_1.m3u8
卫视电影,http://23.237.10.66:16010
纬来育乐,rtmp://59.124.75.150/sat/tv701
纬来育乐,rtmp://59.124.75.138/sat/tv701
纬来体育,rtmp://59.124.75.150/sat/tv721
纬来体育,rtmp://59.124.75.138/sat/tv721
大爱,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
好消息1,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch1-1.m3u8
好消息2,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch2-1.m3u8
中视,rtmp://59.124.75.138/sat/tv091
中视,rtmp://59.124.75.150/sat/tv091
华视,rtmp://59.124.75.138:1935/sat/tv111
华视,rtmp://59.124.75.150/sat/tv111
台视,http://23.237.10.66:16344
台视,rtmp://59.124.75.150/sat/tv071
台视,rtmp://59.124.75.138/sat/tv071
民视,http://23.237.10.66:16334
民视,rtmp://59.124.75.150/sat/tv051
民视,rtmp://59.124.75.138/sat/tv051
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
TVB无线新闻,http://23.237.10.66:16110$高清1080P
TVB无线新闻,http://111.229.84.232/yulin/tvb.php?id=1$高清1080P
TVB翡翠,http://23.237.10.66:16106$高清1080P
TVB翡翠,http://1b6467f415.iok.la:113/tsfile/live/1053_1.m3u8$高清1080P
TVB翡翠,http://113.64.147.30:808/hls/67/index.m3u8$高清1080P
TVB翡翠华丽,http://23.237.10.66:16410$高清1080P
TVB J2,https://cdn.hklive.tv/xxxx/82/index.m3u8
TVB星河,http://27.47.68.21:808/hls/35/index.m3u8$高清10800P
TVB星河,http://27.47.68.19:808/hls/35/index.m3u8$高清720P
TVB功夫,https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/545768/live_179302204_68184269.m3u8$高清720P
面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8$高清1080P
中天新闻,http://60.251.39.247:8504/http/192.168.77.2481/hls/78/80/ch63max.m3u8
中天新闻,http://jeffrey.qwl1965.top/tbs.php?tid=gt&id=29
翡翠台,http://xjayrf.tv888.top:9901/tsfile/live/1004_1.m3u8
无线新闻台,http://98.142.138.122:1632/zhiboyuandakaTV/ViuTv21367.m3u8
无线新闻台,http://jeffrey.qwl1965.top/tbs.php?tid=gt&id=7
TVB J2,http://120.84.96.69:808/hls/86/index.m3u8
凤凰香港,http://27.47.70.113:808/hls/34/index.m3u8
凤凰香港,http://gxfrg007.8800.org:8282/tsfile/live/1065_1.m3u8
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb24]/ott.js.chinamobile.com/PLTV/3/224/3221228527/index.m3u8
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb26]/ott.js.chinamobile.com/PLTV/3/224/3221228524/index.m3u8
凤凰卫视,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8$高清1080P
凤凰卫视,https://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8$高清720P
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8$高清1080P
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8$高清720P
凤凰香港,http://gxfrg007.8800.org:8282/tsfile/live/1065_1.m3u8$高清1080P
凤凰香港,http://113.64.147.30:808/hls/38/index.m3u8$高清1080P
凤凰香港,http://113.64.147.20:808/hls/38/index.m3u8$高清1080P
凤凰电影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8$高清720P
香港卫视,https://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8$高清720P
香港卫视,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv$高清720P
阳光卫视,https://stream.chinasuntv.com/680k/mid_video_index.m3u8$标清576P
时装imodeTV,http://juyunlive.juyun.tv/live/24950198.m3u8$高清1080P
TVBRICS,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8$高清1080P
HBO,http://vips-livecdn.fptplay.net/hda1/hbo_vhls.smil/chunklist_b5000000.m3u8$高清1080P
HBO2,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8$高清1080P
TVB无线财经,http://111.229.84.232/yulin/tvb.php?id=2$高清720P
TVB无线财经,http://120.84.96.63:808/hls/86/index.m3u8$高清720P
TVB无线财经,http://120.84.96.53:808/hls/86/index.m3u8$高清720P
ViuTV,https://cdn.hklive.tv/xxxx/99/index.m3u8$高清720P
ViuTV6,https://cdn.hklive.tv/xxxx/96/index.m3u8$高清720P
ViuTV6,https://pull-l3-cny.douyincdn.com:443/live/e7af863905ba1411658aafc3374dd4ba.flv
TVB明珠台,https://cdn.hklive.tv/xxxx/84/index.m3u8$高清720P
TVB明珠台,https://cdn.hklive.tv/xxxx/84b/index.m3u8$高清720P
RTHK31,https://cdn.hklive.tv/xxxx/31/index.m3u8
RTHK32,https://cdn.hklive.tv/xxxx/32/index.m3u8
RTHK33,https://cdn.hklive.tv/xxxx/33/index.m3u8
RTHK34,https://cdn.hklive.tv/xxxx/34/index.m3u8
天映经典,http://120.84.96.47:808/hls/85/index.m3u8$高清1080P
天映经典,http://120.84.96.63:808/hls/85/index.m3u8$高清1080P
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8$标清576P
澳视资讯,http://103.233.191.134:1935/ch5/info_ch5.live/playlist.m3u8$高清720P
澳视资讯,http://103.233.191.133:1935/ch5/info_ch5.live/playlist.m3u8$高清720P
澳视综艺,http://103.233.191.133:1935/ch6/hd_ch6.live/playlist.m3u8$高清720P
澳视综艺,http://103.233.191.134:1935/ch6/hd_ch6.live/playlist.m3u8$高清720P
澳视综艺,http://103.233.191.132:1935/ch6/hd_ch6.live/playlist.m3u8$高清720P
澳视Macau,http://103.233.191.134:1935/ch3/ch3.live/playlist.m3u8$高清720P
澳视Macau,http://103.233.191.132:1935/ch3/ch3.live/playlist.m3u8$高清720P
澳视Macau,http://103.233.191.133:1935/ch3/ch3.live/playlist.m3u8$高清720P
澳视澳門,http://103.233.191.134:1935/ch1/ch1.live/playlist.m3u8$高清720P
澳视澳門,http://103.233.191.133:1935/ch1/ch1.live/playlist.m3u8$高清720P
澳门莲花,http://nettvpro.live/hls/lotustv.php$高清1080P
澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8$高清1080P
澳门莲花,https://p.ggiptv.com/v/macaulotustv.php$高清720P
澳视体育,http://103.233.191.132:1935/ch4/sport_ch4.live/playlist.m3u8$高清720P
澳视体育,http://103.233.191.133:1935/ch4/sport_ch4.live/playlist.m3u8$高清720P
澳视体育,http://103.233.191.134:1935/ch4/sport_ch4.live/playlist.m3u8$高清720P
三立新闻,http://23.237.10.66:16342
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
TVBS新闻,rtmp://59.124.75.150/sat/tv551$高清720P
TVBS新闻,rtmp://59.124.75.138/sat/tv551$高清720P
TVBS欢乐,rtmp://59.124.75.150/sat/tv421$高清720P
TVBS欢乐,rtmp://59.124.75.138/sat/tv421$高清720P
东森卫视,http://38.64.72.148:80/hls/modn/list/2024/chunklist0.m3u8$高清1080P
东森美洲,http://38.64.72.148:80/hls/modn/list/2026/chunklist0.m3u8$高清1080P
东森财经,http://38.64.72.148:80/hls/modn/list/2021/chunklist0.m3u8$高清720P
东森财经,rtmp://59.124.75.150/sat/tv571$高清720P
东森财经,rtmp://59.124.75.138/sat/tv571$高清720P
东森超视,rtmp://59.124.75.138:1935/sat/tv331$高清720P
东森超视,rtmp://59.124.75.150/sat/tv331$高清720P
东森电影,http://120.84.96.47:808/hls/32/index.m3u8$高清1080P
中天新闻,https://pull-f5-spe.ixigua.com/live/rtmvpkgtvvzggyiuuikfvbscvgjktwgfsggsgqrcvuyremgeztxw/index.m3u8$高清1080P
龙祥时代,http://gxfrg007.8800.org:8282/tsfile/live/1048_1.m3u8$高清720P
卫视电影,http://23.237.10.66:16010$高清720P
纬来育乐,rtmp://59.124.75.150/sat/tv701$高清720P
纬来育乐,rtmp://59.124.75.138/sat/tv701$高清720P
纬来体育,rtmp://59.124.75.150/sat/tv721$高清720P
纬来体育,rtmp://59.124.75.138/sat/tv721$高清720P
大爱,https://pulltv1.wanfudaluye.com/live/tv1.m3u8$高清720P
大爱,https://pulltv2.wanfudaluye.com/live/tv2.m3u8$高清720P
好消息1,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch1-1.m3u8$高清720P
好消息2,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch2-1.m3u8$高清720P
中视,rtmp://59.124.75.138/sat/tv091$高清720P
中视,rtmp://59.124.75.150/sat/tv091$高清720P
华视,rtmp://59.124.75.138:1935/sat/tv111$高清720P
华视,rtmp://59.124.75.150/sat/tv111$高清720P
台视,rtmp://59.124.75.150/sat/tv071$高清720P
台视,rtmp://59.124.75.138/sat/tv071$高清720P
民视,rtmp://59.124.75.150/sat/tv051$高清720P
民视,rtmp://59.124.75.138/sat/tv051$高清720P
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8$高清1080P
民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8$高清1080P
翡翠台 FHD,http://radius.8866.org:800/hls/80/index.m3u8
明珠台 FHD,http://radius.8866.org:800/hls/84/index.m3u8
无线新闻台 FHD,http://radius.8866.org:800/hls/82/index.m3u8
无线财经资讯台 FHD,http://radius.8866.org:800/hls/83/index.m3u8
ViuTV Six FHD,http://radius.8866.org:800/hls/85/index.m3u8
ViuTV FHD,http://radius.8866.org:800/hls/86/index.m3u8
RTHK 31 FHD,http://radius.8866.org:800/hls/89/index.m3u8
RTHK 32 FHD,http://radius.8866.org:800/hls/90/index.m3u8
RTHK 33 FHD,http://radius.8866.org:800/hls/91/index.m3u8
有线新闻,http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
中天新闻,http://198.16.64.10:8278/ctinews/playlist.m3u8?tid=MA4A6611409066114090&ct=19226&tsum=f0333c4e69a7c5880f766ec9f29ca203
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8?
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4_tv2.m3u8
凤凰中文,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰电影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8
翡翠台,http://23.237.10.66:16106
翡翠台,http://50.7.168.234:8278/jade_twn/playlist.m3u8?tid=m51e8c5582227&ct=18336&tsum=d0987332bec9b0fecc98b9b9ff3ddeac
翡翠华丽,http://23.237.10.66:16410
经典功夫台,https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/545768/live_179302204_68184269.m3u8
无线新闻,http://23.237.10.66:16110
无线新闻台,http://198.16.64.10:8278/inews_twn/playlist.m3u8?tid=m2206a7a6925a&ct=18336&tsum=47d564f6425ee7ceb9ff1ed026f89669
无线新闻,https://bcovlive-a.akamaihd.net/38974baa695d47bbb231665ca52b8b3c/us-west-2/5324042807001/playlist.m3u8
无线新闻,https://bcovlive-a.akamaihd.net/38974baa695d47bbb231665ca52b8b3c/us-west-2/5324042807001/95ea73e414b14b7ea6406050a5293f17/playlist_ssaiM.m3u8
无线财经,http://198.16.64.10:8278/j5_twn/playlist.m3u8?tid=m3b7232941813&ct=18336&tsum=2652e4efd153feaf5e425047082469ea
j2,http://198.16.64.10:8278/j2_twn/playlist.m3u8?tid=m22905da1d346&ct=18336&tsum=3b4998c4f5367bb820165f66b0caab0e
HTV4,https://livecdn.fptplay.net/sdb/htv4_hls.smil/chunklist_b2500000.m3u8
澳门Macau,http://61.244.22.4/ch3/ch3.live/chunklist_w1228316132.m3u8
澳门Macau,http://61.244.22.4/ch3/ch3.live/playelist.m3u8
澳门Macau,http://61.244.22.4/ch2/ch2.live/playelist.m3u8
澳门Macau,http://61.244.22.4/ch3/ch3.live/index.m3u8
澳门Macau,http://103.233.191.133:1935/ch3/ch3.live/playlist.m3u8
澳门Macau,http://103.233.191.134:1935/ch3/ch3.live/playlist.m3u8
澳视澳门,http://103.233.191.133:1935/ch1/ch1.live/playlist.m3u8
澳视澳门,http://103.233.191.134:1935/ch1/ch1.live/playlist.m3u8
澳视澳门,http://61.244.22.5/ch1/ch1.live/playelist.m3u8
澳视葡文,http://103.233.191.132:1935/ch2/ch2.live/playlist.m3u8
澳视葡文,http://103.233.191.133:1935/ch2/ch2.live/playlist.m3u8
澳视葡文,http://103.233.191.134:1935/ch2/ch2.live/playlist.m3u8
澳视葡文,http://61.244.22.4/ch2/ch2.live/chunklist_w1632175875.m3u8
澳门资讯,http://103.233.191.133:1935/ch5/info_ch5.live/playlist.m3u8
澳门资讯,http://103.233.191.134:1935/ch5/info_ch5.live/playlist.m3u8
澳门资讯,http://61.244.22.4/ch5/info_ch5.live/chunklist_w1046558591.m3u8
澳门综艺,http://103.233.191.134:1935/ch6/hd_ch6.live/playlist.m3u8
澳门综艺,http://103.233.191.132:1935/ch6/hd_ch6.live/playlist.m3u8
澳门综艺,http://103.233.191.133:1935/ch6/hd_ch6.live/playlist.m3u8
澳门综艺,http://61.244.22.4/ch6/_definst_/hd_ch6.live/playlist.m3u8
澳门体育,http://103.233.191.132:1935/ch4/sport_ch4.live/playlist.m3u8
澳门体育,http://103.233.191.133:1935/ch4/sport_ch4.live/playlist.m3u8
澳门体育,http://103.233.191.134:1935/ch4/sport_ch4.live/playlist.m3u8
澳门体育,http://61.244.22.4/ch4/sport_ch4.live/master.m3u8
无线新闻台港版,http://prd-vcache.edge-global.akamai.tvb.com/__cl/slocalr2526/__c/ott_C_h264/__op/bks/__f/index.m3u8?hdnea=ip=0.0.0.0~st=1663032741~exp=1663119141~acl=/__cl/slocalr2526/__c/ott_C_h264/__op/bks/__f/*~hmac=36bd7c55af07abd967a5884301ba50f7598a5298bb5d5dda46377357534e3bd8&p=3969
无线新闻台海外版,http://prd-vcache.edge-global.akamai.tvb.com/__cl/slocalr2526/__c/ott_I-NEWS_h264/__op/bks/__f/index.m3u8?hdnea=ip=0.0.0.0~st=1663033346~exp=1663119746~acl=/__cl/slocalr2526/__c/ott_I-NEWS_h264/__op/bks/__f/*~hmac=93983cc203d17b7fdf0866d945850d845a67b297729336141f85930e786df984&p=4040
无线财经台港版,http://prd-vcache.edge-global.akamai.tvb.com/__cl/slocalr2526/__c/ott_A_h264/__op/bks/__f/index.m3u8?hdnea=ip=0.0.0.0~st=1663034525~exp=1663120925~acl=/__cl/slocalr2526/__c/ott_A_h264/__op/bks/__f/*~hmac=cfc03639ce23c49facdbe2fa4340d84706ad3f76544553d58e316f0a2f7891ec&p=3969
无线财经台海外版,http://prd-vcache.edge-global.akamai.tvb.com/__cl/slocalr2526/__c/ott_I-FINA_h264/__op/bks/__f/index.m3u8?hdnea=ip=0.0.0.0~st=1663034635~exp=1663121035~acl=/__cl/slocalr2526/__c/ott_I-FINA_h264/__op/bks/__f/*~hmac=476a782648f8c6c3bc85eae0eb5516690da188d457af48f44d9cccba3698accc&p=4040
TVBS,http://173.211.42.73:8278/tvbs/playlist.m3u8?tid=MCAC6901345769013457&ct=19237&tsum=0280036cc04ba19ae41f86db72b83b2c
中天新闻,http://173.211.42.73:8278/ctinews/playlist.m3u8?tid=MF5F4060926640609266&ct=19237&tsum=4ea19b019ee13898b179359fb93fc53f
中视新闻,http://173.211.42.73:8278/zhongshinews_twn/playlist.m3u8?tid=MA1A6580642765806427&ct=19237&tsum=59acf2ede586f26d66765d911a2ba9c0
凤凰香港,http://173.211.42.73:8278/hkphoenix_twn/playlist.m3u8?tid=MCEC5533442155334421&ct=19237&tsum=d7b31be640bf0f3bdc9b577c70065a06
翡翠台,http://173.211.42.73:8278/jade_twn/playlist.m3u8?tid=MFAF3621176136211761&ct=19237&tsum=d11caa3f055194051ba8b93c6575dbd1
无线新闻台,http://173.211.42.73:8278/inews_twn/playlist.m3u8?tid=MF0F5425225154252251&ct=19237&tsum=b62246f95bb1178276113e0582ac1173
J2,http://173.211.42.73:8278/j2_twn/playlist.m3u8?tid=ME0E4382171043821710&ct=19237&tsum=6f10351124a4eb90780b2f84b2c4d349
RTHK31,http://173.211.42.73:8278/rhk31_twn/playlist.m3u8?tid=MBFB6508588865085888&ct=19237&tsum=09e192db535f9d7e484d42bab663510c
RTHK32,http://173.211.42.73:8278/rhk32_twn/playlist.m3u8?tid=MD9D3680764436807644&ct=19234&tsum=6c3d17c15f8d4a4a0537ef1cb7c1cc45
ViuTV,http://173.211.42.73:8278/9ae6d37d9a/playlist.m3u8?tid=MA4A8144846981448469&ct=19237&tsum=c5d5c1e69521c7b32c9df9c7b7d2b418
